Num_ID,Gene_ID,transcript_ID,# of transcripts
1,WBGene00000001,['Y110A7A.10.1'],1
2,WBGene00000002,['F27C8.1.1'],1
3,WBGene00000003,['F07C3.7.1'],1
4,WBGene00000004,"['F52H2.2a.1', 'F52H2.2b.1']",2
5,WBGene00000005,['T13A10.10a.1'],1
6,WBGene00000006,['C55C2.5a.1'],1
7,WBGene00000007,"['T11F9.4a.1', 'T11F9.4b.1']",2
8,WBGene00000008,['F54D12.3.1'],1
9,WBGene00000009,['F28F9.4.1'],1
10,WBGene00000010,"['Y53H1C.1a.1', 'Y53H1C.1b.1']",2
11,WBGene00000012,['C50F2.9.1'],1
12,WBGene00000013,['C50F2.10.1'],1
13,WBGene00000014,['F54B8.5.1'],1
14,WBGene00000015,['Y38H6C.22.1'],1
15,WBGene00000016,['T22H6.5.1'],1
16,WBGene00000017,['T22H6.7.1'],1
17,WBGene00000018,"['M79.1a.1', 'M79.1b.1', 'M79.1c.1', 'M79.1d.1', 'M79.1e.1', 'M79.1f.1', 'M79.1g.1', 'M79.1h.1']",8
18,WBGene00000019,"['C24F3.5a.1', 'C24F3.5b.1']",2
19,WBGene00000020,"['F12B6.1a.1', 'F12B6.1b.1']",2
20,WBGene00000022,['Y39D8C.1.1'],1
21,WBGene00000023,['Y53C10A.9.1'],1
22,WBGene00000024,['AC3.3.1'],1
23,WBGene00000025,['F19G12.7.1'],1
24,WBGene00000027,['Y5H2A.3.1'],1
25,WBGene00000028,['Y105C5A.4.1'],1
26,WBGene00000029,['C03A7.7.1'],1
27,WBGene00000030,['C03A7.8.1'],1
28,WBGene00000031,['C03A7.14.1'],1
29,WBGene00000032,['R09F10.2.1'],1
30,WBGene00000033,['F35A5.3.1'],1
31,WBGene00000034,['T01D1.6.1'],1
32,WBGene00000035,['W09B12.1.1'],1
33,WBGene00000036,"['Y44E3A.2.1', 'Y44E3A.2.2']",2
34,WBGene00000037,['Y48B6A.8.1'],1
35,WBGene00000038,['Y48B6A.7.1'],1
36,WBGene00000039,['C42D8.5.1'],1
37,WBGene00000040,['ZK455.1.1'],1
38,WBGene00000041,"['F54H12.1a.1', 'F54H12.1c.1', 'F54H12.1c.2', 'F54H12.1c.3']",4
39,WBGene00000042,['K11G12.2.1'],1
40,WBGene00000043,['K11G12.7.1'],1
41,WBGene00000044,['K03F8.2.1'],1
42,WBGene00000045,['ZK973.5.1'],1
43,WBGene00000046,['T09A5.3.1'],1
44,WBGene00000047,"['ZC504.2.1', 'ZC504.2.2']",2
45,WBGene00000048,['C40C9.2.1'],1
46,WBGene00000049,['R02E12.8.1'],1
47,WBGene00000050,['D2092.3.1'],1
48,WBGene00000051,"['R01E6.4a.1', 'R01E6.4b.1']",2
49,WBGene00000053,['T05C12.2.1'],1
50,WBGene00000054,['F25G6.4.1'],1
51,WBGene00000055,['F25G6.3.1'],1
52,WBGene00000056,"['F53E10.2b.1', 'F53E10.2g.1', 'F53E10.2h.1', 'F53E10.2i.1']",4
53,WBGene00000057,['F28F8.1.1'],1
54,WBGene00000058,"['C31H5.3a.1', 'C31H5.3b.1']",2
55,WBGene00000059,"['R06A4.10a.1', 'R06A4.10b.1', 'R06A4.10c.1']",3
56,WBGene00000060,"['F27B3.2a.1', 'F27B3.2b.1', 'F27B3.2c.1', 'F27B3.2d.1']",4
57,WBGene00000061,['F48E3.7.1'],1
58,WBGene00000062,"['F59B1.9a.1', 'F59B1.9b.1']",2
59,WBGene00000063,['T04C12.6.1'],1
60,WBGene00000064,['T04C12.5.1'],1
61,WBGene00000065,"['T04C12.4.1', 'T04C12.4.2', 'T04C12.4.3']",3
62,WBGene00000066,"['M03F4.2a.1', 'M03F4.2b.1']",2
63,WBGene00000067,['T25C8.2.1'],1
64,WBGene00000068,['F17C8.1.1'],1
65,WBGene00000069,['C10F3.3.1'],1
66,WBGene00000070,['C44F1.5.1'],1
67,WBGene00000071,['T01C2.1.1'],1
68,WBGene00000072,"['F39C12.2a.1', 'F39C12.2b.1', 'F39C12.2c.1', 'F39C12.2d.1', 'F39C12.2e.1']",5
69,WBGene00000073,"['F57F5.4a.1', 'F57F5.4b.1']",2
70,WBGene00000074,"['C04A11.4a.1', 'C04A11.4b.1']",2
71,WBGene00000075,['ZK154.7.1'],1
72,WBGene00000079,"['H15N14.1c.1', 'H15N14.1d.1', 'H15N14.1e.1', 'H15N14.1f.1', 'H15N14.1g.1']",5
73,WBGene00000080,['T20H4.4.1'],1
74,WBGene00000081,['Y50D7A.7.1'],1
75,WBGene00000082,"['C02B4.1a.1', 'C02B4.1b.1']",2
76,WBGene00000083,"['F08C6.1a.1', 'F08C6.1b.1', 'F08C6.1c.1']",3
77,WBGene00000084,"['D2030.10a.1', 'D2030.10b.1']",2
78,WBGene00000085,['T14B1.2.1'],1
79,WBGene00000086,"['C02H7.3a.1', 'C02H7.3b.1']",2
80,WBGene00000088,['F32A7.6.1'],1
81,WBGene00000089,['Y87G2A.4.1'],1
82,WBGene00000090,"['B0334.8a.1', 'B0334.8b.1']",2
83,WBGene00000092,"['F32A6.4a.1', 'F32A6.4a.2', 'F32A6.4d.1', 'F32A6.4e.1', 'F32A6.4f.1', 'F32A6.4f.2', 'F32A6.4f.3', 'F32A6.4f.4', 'F32A6.4f.5', 'F32A6.4g.1']",10
84,WBGene00000093,"['Y62E10A.5a.1', 'Y62E10A.5b.1']",2
85,WBGene00000094,['F09E5.13.1'],1
86,WBGene00000095,['C25A1.11.1'],1
87,WBGene00000096,"['C41G7.5a.1', 'C41G7.5b.1']",2
88,WBGene00000097,['F58E10.4.1'],1
89,WBGene00000098,['K07C11.2.1'],1
90,WBGene00000099,"['B0207.4.1', 'B0207.4.2']",2
91,WBGene00000100,"['C25A11.4a.1', 'C25A11.4a.2', 'C25A11.4a.3', 'C25A11.4a.4', 'C25A11.4b.1', 'C25A11.4c.1', 'C25A11.4d.1', 'C25A11.4e.1', 'C25A11.4f.1', 'C25A11.4g.1', 'C25A11.4h.1', 'C25A11.4i.1', 'C25A11.4j.1', 'C25A11.4k.1', 'C25A11.4l.1', 'C25A11.4m.1']",16
92,WBGene00000101,"['D1022.7a.1', 'D1022.7b.1', 'D1022.7c.1']",3
93,WBGene00000102,"['C12D8.10a.1', 'C12D8.10b.1', 'C12D8.10c.1']",3
94,WBGene00000103,"['F28H6.1a.1', 'F28H6.1b.1']",2
95,WBGene00000105,"['F48F7.1a.1', 'F48F7.1a.2', 'F48F7.1a.3', 'F48F7.1b.1']",4
96,WBGene00000106,"['T07D3.7a.1', 'T07D3.7b.1']",2
97,WBGene00000107,"['F54D8.3a.1', 'F54D8.3b.1', 'F54D8.3b.2']",3
98,WBGene00000108,['K04F1.15.1'],1
99,WBGene00000109,['F36H1.6.1'],1
100,WBGene00000110,"['T05H4.13a.1', 'T05H4.13b.1', 'T05H4.13c.1', 'T05H4.13d.1']",4
101,WBGene00000111,['T08B1.3.1'],1
102,WBGene00000112,"['F56D12.1a.1', 'F56D12.1a.2', 'F56D12.1b.1', 'F56D12.1c.1', 'F56D12.1d.1']",5
103,WBGene00000113,"['F45H10.1a.1', 'F45H10.1b.1']",2
104,WBGene00000114,"['F13D12.4a.1', 'F13D12.4b.1']",2
105,WBGene00000115,"['F01F1.6.1', 'F01F1.6.2']",2
106,WBGene00000116,['C54D1.4.1'],1
107,WBGene00000117,"['F42G9.5a.1', 'F42G9.5b.1', 'F42G9.5b.2']",3
108,WBGene00000118,"['Y69F12A.2a.1', 'Y69F12A.2b.1']",2
109,WBGene00000120,['C01F6.5.1'],1
110,WBGene00000121,['F23B2.6.1'],1
111,WBGene00000122,['M18.7a.1'],1
112,WBGene00000123,['F36A4.7.1'],1
113,WBGene00000133,['C05E11.4.1'],1
114,WBGene00000134,['F49E11.3.1'],1
115,WBGene00000135,['M195.3.1'],1
116,WBGene00000136,['C05E11.5.1'],1
117,WBGene00000137,['R13G10.2.1'],1
118,WBGene00000138,['B0019.1.1'],1
119,WBGene00000139,"['F25C8.2a.1', 'F25C8.2b.1']",2
120,WBGene00000140,"['ZK973.6a.1', 'ZK973.6b.1', 'ZK973.6c.1']",3
121,WBGene00000142,['C08B6.9.1'],1
122,WBGene00000143,['K06H7.6.1'],1
123,WBGene00000144,"['F15H10.3a.1', 'F15H10.3b.1', 'F15H10.3c.1', 'F15H10.3d.1']",4
124,WBGene00000145,['F35G12.9.1'],1
125,WBGene00000146,"['F46F3.4a.1', 'F46F3.4b.1', 'F46F3.4c.1', 'F46F3.4d.1']",4
126,WBGene00000147,['VF36H2L.1.1'],1
127,WBGene00000148,"['ZC434.6a.1', 'ZC434.6b.1']",2
128,WBGene00000149,"['C42D8.8a.1', 'C42D8.8b.1']",2
129,WBGene00000150,['F55A12.7.1'],1
130,WBGene00000151,['T05H10.2.1'],1
131,WBGene00000155,['W03G9.4.1'],1
132,WBGene00000156,"['K04G2.8a.1', 'K04G2.8b.1', 'K04G2.8c.1']",3
133,WBGene00000157,['F02E8.3.1'],1
134,WBGene00000158,['Y105E8A.9.1'],1
135,WBGene00000159,['F29G9.3.1'],1
136,WBGene00000160,['Y71H2B.10.1'],1
137,WBGene00000161,['T20B5.1.1'],1
138,WBGene00000162,"['W09G10.4a.1', 'W09G10.4b.1']",2
139,WBGene00000163,"['R11A5.1a.1', 'R11A5.1b.1']",2
140,WBGene00000164,['F53H8.1.1'],1
141,WBGene00000165,['Y48G8AL.14.1'],1
142,WBGene00000166,['W04G3.4.1'],1
143,WBGene00000168,"['K08D9.3a.1', 'K08D9.3e.1', 'K08D9.3f.1']",3
144,WBGene00000169,"['F32A5.5a.1', 'F32A5.5b.1']",2
145,WBGene00000170,"['C01G6.1a.1', 'C01G6.1b.1', 'C01G6.1b.2']",3
146,WBGene00000171,"['Y69E1A.7a.1', 'Y69E1A.7b.1', 'Y69E1A.7c.1']",3
147,WBGene00000172,['F40F9.9.1'],1
148,WBGene00000173,['C35A5.1.1'],1
149,WBGene00000174,"['C32C4.2a.1', 'C32C4.2b.1', 'C32C4.2c.1']",3
150,WBGene00000175,"['M02F4.8a.1', 'M02F4.8a.2', 'M02F4.8b.1']",3
151,WBGene00000176,"['K02G10.7a.1', 'K02G10.7b.1', 'K02G10.7b.2', 'K02G10.7c.1', 'K02G10.7d.1']",5
152,WBGene00000177,"['K07A1.16a.1', 'K07A1.16a.2', 'K07A1.16b.1']",3
153,WBGene00000178,['ZK1321.3.1'],1
154,WBGene00000179,['ZK525.2.1'],1
155,WBGene00000180,['ZK1320.6.1'],1
156,WBGene00000181,"['F01G4.2a.1', 'F01G4.2b.1']",2
157,WBGene00000182,"['B0336.2.1', 'B0336.2.2']",2
158,WBGene00000183,['F57H12.1.1'],1
159,WBGene00000184,['Y116A8C.12.1'],1
160,WBGene00000185,['F31A9.3.1'],1
161,WBGene00000186,"['C01C7.1a.1', 'C01C7.1b.1']",2
162,WBGene00000187,['F54C9.10.1'],1
163,WBGene00000188,['F19H8.3.1'],1
164,WBGene00000189,['ZK632.8.1'],1
165,WBGene00000190,['F45E4.1.1'],1
166,WBGene00000192,['Y57G11C.13.1'],1
167,WBGene00000193,['C38D4.8.1'],1
168,WBGene00000195,['F53H8.2.1'],1
169,WBGene00000196,['W02B12.6a.1'],1
170,WBGene00000197,"['F28H1.3.1', 'F28H1.3.2']",2
171,WBGene00000198,['C15F1.6.1'],1
172,WBGene00000199,['Y71F9AL.16.1'],1
173,WBGene00000200,['K07C5.1.1'],1
174,WBGene00000201,"['Y79H2A.6a.1', 'Y79H2A.6b.1']",2
175,WBGene00000202,['Y6D11A.1.1'],1
176,WBGene00000203,['Y37D8A.1.1'],1
177,WBGene00000204,['C35D10.16.1'],1
178,WBGene00000205,['M01B12.3.1'],1
179,WBGene00000206,['F35G12.10.1'],1
180,WBGene00000207,"['F02E8.1.1', 'F02E8.1.2']",2
181,WBGene00000208,['Y53F4B.15.1'],1
182,WBGene00000209,['K07A12.3.1'],1
183,WBGene00000210,['C53B7.4.1'],1
184,WBGene00000211,['B0252.2.1'],1
185,WBGene00000212,['ZK455.4.1'],1
186,WBGene00000213,"['W03G1.7a.1', 'W03G1.7b.1']",2
187,WBGene00000214,['Y39B6A.20.1'],1
188,WBGene00000215,['T18H9.2.1'],1
189,WBGene00000216,['H22K11.1.1'],1
190,WBGene00000217,['R12H7.2.1'],1
191,WBGene00000218,['F21F8.3.1'],1
192,WBGene00000219,['F21F8.7.1'],1
193,WBGene00000220,['K08F8.2.1'],1
194,WBGene00000221,['T04C10.4.1'],1
195,WBGene00000222,['F45E6.2.1'],1
196,WBGene00000223,"['C07G2.2a.1', 'C07G2.2b.1', 'C07G2.2b.2', 'C07G2.2c.1', 'C07G2.2d.1', 'C07G2.2d.2', 'C07G2.2d.3', 'C07G2.2d.4']",8
197,WBGene00000224,"['F26D10.9a.1', 'F26D10.9b.1']",2
198,WBGene00000225,"['C38C6.2a.1', 'C38C6.2b.1', 'C38C6.2c.1']",3
199,WBGene00000226,"['T06E4.3a.1', 'T06E4.3a.2', 'T06E4.3c.1']",3
200,WBGene00000227,"['Y48G1BL.2a.1', 'Y48G1BL.2b.1']",2
201,WBGene00000228,"['W04D2.1a.1', 'W04D2.1b.1', 'W04D2.1c.1', 'W04D2.1d.1']",4
202,WBGene00000229,"['C34E10.6.1', 'C34E10.6.2']",2
203,WBGene00000230,"['F27C1.7a.1', 'F27C1.7a.2', 'F27C1.7a.3', 'F27C1.7a.4', 'F27C1.7b.1']",5
204,WBGene00000231,"['D2045.1a.1', 'D2045.1b.1', 'D2045.1c.1', 'D2045.1d.1']",4
205,WBGene00000232,"['B0207.12a.1', 'B0207.12a.2', 'B0207.12a.3', 'B0207.12b.1', 'B0207.12c.1']",5
206,WBGene00000233,"['R11G10.1a.1', 'R11G10.1b.1', 'R11G10.1c.1']",3
207,WBGene00000235,['B0464.7.1'],1
208,WBGene00000236,['F57B10.11.1'],1
209,WBGene00000237,['Y71F9AR.1.1'],1
210,WBGene00000238,['C54D1.6.1'],1
211,WBGene00000239,"['C05D2.4a.1', 'C05D2.4b.1']",2
212,WBGene00000240,"['K08F8.4a.1', 'K08F8.4b.1']",2
213,WBGene00000241,['Y105E8A.5.1'],1
214,WBGene00000242,['F20D12.3.1'],1
215,WBGene00000244,['T25F10.5.1'],1
216,WBGene00000245,['T13C5.5.1'],1
217,WBGene00000246,['M7.3.1'],1
218,WBGene00000247,"['T19E7.3a.1', 'T19E7.3b.1']",2
219,WBGene00000248,['C54C6.2.1'],1
220,WBGene00000249,"['T27F2.3.1', 'T27F2.3.2']",2
221,WBGene00000250,['C50B8.2.1'],1
222,WBGene00000251,['C09G5.6.1'],1
223,WBGene00000252,['F59E12.12.1'],1
