,Start,End,Length
5'UTR,1,361,361
CDS,362,850,489
3'UTR,-,-,-
Exon 1,1,380,380
Exon 2,381,494,114
Exon 3,495,566,72
Exon 4,567,656,90
Exon 5,657,848,192
Exon 6,849,850,2
